username,rating,time,votes,comment
Mr.Curry,4.9,2024/06/18,2,第3シーズンパート2が終わった後、「結末が安定して着地すれば鋼の錬金術師を超えられる」と多くの人が賞賛し、21年4月に漫画が完結してから、インターネット全体に非難が集中するまで、そして現在アニメーションが完結して再び神の座に戻った。このような逆転が起こったのは、巨人の結末が変わったからでしょうか？答えは否定的です。事実によれば、神作は沈殿する必要があります。かつて、最後の2話が抽象的で予算が足りなかったため、終わらなかったと言われたエヴァも、今では一つの時代を代表する神作となっています。時間が経つにつれて、ますます多くの内容が解明され、分析され、人々は巨人に対する評価を高めるでしょう。世界中で、巨人の影響力と評価は現象的です。歳月の洗礼を受けながら、巨人は一つの時代を代表する神作になるでしょう。
四ツ谷ミツル,5.0,2024/02/19,1,"これは本当に傑作だ。

面白すぎてほぼ一日で見切ってしまった。



作画は言わずもがな最高だが、人の死体とか残虐な描写が規制されつつある中でこれだけしっかり胴体が真っ二つになっていたり血塗れになっている様を描き切ってくれるなんて流石すぎる。



これはどうしてもネタバレ込みでストーリー諸々語りたいので以下ガッツリ伏せさせて頂く。

3期Part1から期間が空いて足が遠のいてしまった方も、とにかく最高だから見てくれと足早に伝えておく。

では、語らせて頂く。

 {netabare}

Part2では今まで謎だった巨人とはなんなのかや、地下室と親父についての謎も明かされる。

作画もとんでもないハイクオリティだし、巨人同士の熱いバトルも見応えがある。

雷槍を使ってミカサ達がライナーと激突するシーンはまさに巨人に立ち向かう人間の縮図のようで素晴らしい。やはり立体機動の音と縦横無尽に町を飛び回るのは迫力があってサイコーだ。

仲間達で犠牲を糧に力を合わせて熱い戦いを繰り広げる前半戦も見事だ。



そんな素晴らしいアクションを拝んでからの壁外パート。

エルヴィンの覚悟と""最強""が故に数多の屍の上に立つ事を強制されるリヴァイの静かな葛藤と、気迫に満ちた「進めーー！！」がもうヤバかった。ずっと手に汗握りながら視聴していた。マルロの心情もあまりにもリアルだ。

そんなヒリつく城壁戦が終わった後にまだそれを超える辛い展開が襲ってくるなんて誰が予想出来ようか。

エルヴィンかアルミンか。

どちらか片方しか選べない葛藤と叫びが悲痛過ぎて思わず号泣する所だった。

どっちも好きなキャラだから余計にしんどかった。リヴァイの選択も分かりつつもしんどかった。

だが、エルヴィンの最期のセリフを聴いては選べなかったのだろう。

本当に心抉られたが素晴らしい最期だった。



そして、謎が明かされて最終話に描かれた海は本当に綺麗だった。

進撃の巨人という世界でこんなに鮮やかな色彩が見られるとは思っていなかった。

どこまで涙腺を刺激すれば気が済むのだろうか。

{/netabare}

こんな素晴らしい作品を拝めて本当に幸せだ。制作陣には伏して心から敬意を表する。

WIT STUDIOの紡ぐ進撃の巨人はこれで最後との事なので改めて言わせて欲しい。



ありがとうWIT STUDIO 傑作です。"
退会済のユーザー,4.8,2023/12/19,0,"16.17話は今までアニメで感じた事のない

気持ちを味わいました。"
はちごー,4.9,2023/08/23,2,進撃で一番好きな編。
太郎,5.0,2023/03/21,2,"ハンジ「…なにしてるの？」

エ「……………」

{netabare}ハ「進撃の巨人…(｀・ω・´)ｷﾘｯ　ってやってたよね今？」

エ「いえ…」（汗）

ハ「ええ！？やってたよね！？二人とも今の見たでしょう？」

アルミン「ええ…でもまぁ、それは…」

ハ「ほらー！今のはなんだったのエレン？」

エ「いえ…別に…(´・ω・｀)」

ハ「君の巨人の名前でしょう？なんで誰もいないのに一人で喋っていたの？」

リヴァイ「もういいだろハンジ、コイツは15だぞ。そういう時期は誰にでもある」

ハ「(ﾟДﾟ)ﾊｧ? 　なんだよそういう時期って？」

ア「ハンジさん、後で僕が説明しますから、本人の前ではもう…(;´д｀)」

ハ「はぁ？なにそれどういうことぉ？」

エ「何しに来たんですかぁぁぁヽ(｀Д´#)ﾉ」{/netabare}"
カモミール,3.5,2023/02/09,1,やっと地下室。驚きの展開。
マーティ,5.0,2022/09/16,27,"全10話。単行本では18、19巻～22巻まで収録。



　今までの進撃の巨人史上、最も濃密な10話だったと思います。戦闘、真実の探求、別れ、悲しみ、憎しみ、、、様々な面において最高でした。



　「ウォールローゼの奪還とエレンの実家の地下室にあるグリシャが残したこの世界の真実を調べることを目的とした調査兵団」と「エレンの持つ始祖の巨人の奪還を目的としたマーレ戦士」の熱い戦いが繰り広げられます。



　この戦いの果てに、{netabare}調査兵団は多くの犠牲を払いマーレ戦士に勝利します。さらに地下室に行き真実を知ります。物語が始まって以来、初めから抱いていた夢がやっと叶ったときでしたが、、、、、壁の外に自由はなく、むしろ絶望が待ち構えていました。{/netabare}



　謎は明かされましたが、戦いはまだまだ終わりません。しかも今まで以上に強大な敵が待ち受けます。さらにエレンが今までと違う様子を見せます。まだまだ謎は残されているようですね。



　これにて感想を終わります。ここまで読んでくださりありがとうございました。"
oneandonly,4.3,2022/08/24,33,"世界観：８

ストーリー：８

リアリティ：７

キャラクター：７

情感：６

合計：３６



＜あらすじ＞

夜陰に乗じてウォール・マリアをめざす調査兵団。深い眠りにつく巨人の横を通り抜ける一同の中で、エレンはひとり呼吸を乱していた。「もしも奪還作戦に失敗したら？」「自分は人類を救えるのか？」――震えるエレンに声をかけたアルミンは、エレンとこれまでのことを振り返る……。

（公式サイト50話より）



３期の前半があまり楽しめなかったこともあって、続きがまた始まったんだなというくらいに様子を見ていましたが、あにこれでの評価が高くなっていたため視聴を再開しました。もう、50話も見てきたんですね。そして、あまり面白くないと思いながらもここまで見てきたのが報われるシーズンだったと思います。



2019年春アニメはあにこれ評価4.0点程度の作品が上位という状況でしたが、神回を含む優良回以上の連発により、久々に4.3以上の得点に達しました。これまで視聴してきた方は、是非お見逃しなく！



神回は{netabare}54話。エルヴィン団長率いる調査兵団の突撃、エルヴィンの負傷・落馬、マルロの死（最期に昔の仲間ヒッチの今を想像してうわずりながらの「あぁ、いいなぁ」の台詞はインパクトがありました）、リヴァイの獣の巨人への特攻（滅茶苦茶痺れた。作画枚数凄そう）、そしてシガンシナ区内でのベルトルトとライナー相手にアルミンがようやく策を思いつき、自らを犠牲にエレンと共にベルトルトを打倒（アルミン焼死？）、と{/netabare}盛りだくさんの内容で、見終えた時に30分の１話分と思えない充実感がありました。



優良回は{netabare}その前後の回（エルヴィンが地下室への好奇心を諦めて死ぬ選択をする葛藤シーン、エルヴィンとアルミンのどちらを救うかという展開）と、巨人がどこからやってきたものか、外の世界がどうなっているのかをエレンの父のストーリーで語り、フクロウの正体やエレンの母を食べた巨人の正体（因果だなぁ）まで見せた回。



巨人になる注射が仙豆みたいな効果を発揮するのは超設定で、３期前半あたりでつまらなく思ったのですが、上記のような展開ならぎりぎり許容しても良いかなと。

（本作は巨人に仕組み（変身はまだしも人が入っていて取り外し可能、硬質化はまだしもそれを容易に解除可能）等、納得し難い設定が多少ハードルになっています）



調査兵団は激減し、壁の中の人類としては巨人を殲滅できればヨシだったのでしょうが、最終話で示されたように、巨人が今後も増やされることを考えればその根を断つべく大陸に行き、エレンの父の無念を晴らす展開に進むのでしょうね。



ようやく地下室に到達し、これまで不明だった壁の外の世界や巨人が何なのか{/netabare}等が回収・説明されたのが個人的に楽しめた要因だったと思います。

引き続き名作を楽しみましょう。



（参考）Youtubeで見つけた高揚できるMAD

「【MAD】憧憬と屍の道 FULL 歌詞付き / Attack on Titan opening5 進撃の巨人 3期 OP」

今回は久しぶりにＯＰも耳に残りました！



＜2022.8追記＞

続編まだ視聴できておらず、神作画回もあり良かったクールですが、評価（キャラクター）は微減させていただきました。



（参考評価推移：50～52話3.8→53話4.0→54話4.3→55話4.4→57話4.5→59話4.4→4.3）

（2019.5～7視聴、2022.8調整）"
ahnaf04,5.0,2022/06/17,1,"Attack on Titan's ""Return to Shiganshina"" was one of the most creatively written anime arc of all time. From briliantly done animation to some big plot twists and some awesomely written fight scenes, Attack on Titan Season 3 Part 2 is a true masterpiece of all anime."
nyaro,3.3,2022/02/27,11,"人気故でしょうか。当初の構想はそのままなぞっているのでしょうが、冗長です。特に戦いのシーンはそんなに要らないででしょう。引き延ばしちゃったかなあ…それは公開可能な情報も考察に必要な情報というより、その場その場の説明になっちゃってますし。



 {netabare}　そうですか。外部の人類文明かあ…しかも、悪魔との契約ですね。ただ、悪魔との契約というのがバイオ兵器の気もします。

　で、島ですか…グリーンランドでも壁の直径1000ＫＭの円なんて納まりませんから、距離の設定はなにか勘違いがある気がします。



　で、2000年前に人類のために使役していたはずの巨人が、いつの間にか兵器になった。壁の中では故意に文明をおさえていた。

　９つの巨人が指揮官なんでしょうか。始祖というのが特別な巨人で、それとは別に王家の記憶ですか…結局オカルトですか…



　それにしてもたった100年で人間の記憶何て消せるものではないと思うのですが…これだけ大規模な遷都をしたわけですよね？30万平方キロの領地で食料に困窮するなら数千万人の人口があると思います。（でも、そうか…記憶を操作できるようなセリフがありましたね…それは巨人の秘密だけでなく、出来事まで操作できるということでしょうか）



　それに壁の外の人類が巨人で攻めてきてるなら、少なくともエレンとかアニとかの巨人を使って同じようなことができないか考えますよね？



　ミカサのキャラが１期の中盤から機能しなくなっているのですが…アッカーマン設定があることはありますが、リヴァイなんかと合わせてヒューマンドラマかあ…いるかなあ…一方、ハンジがどんどんいいキャラになってゆきますね。



　拷問のシーン。いろいろ考えますね。画面だとよくわからないですけど…想像するにすごいことになってますね。{/netabare}



　うーん、話は面白くないわけじゃないですけど、思っていたほど広がりが無い話ですね。普通に文明があるなら人類の滅亡に対する最後の戦いではないことがはっきりしました。１期にあったワクワク感は無いですね。

　もしこの話に終わりがあるとすれば、エレンとヒストリアが巨人を滅ぼす「バルス」を言うしかないですよね。



　考察についてもちょっと集中力が保てなくなってきています。見落としがあって変なことを言っているかもしれません。

　しかし、大筋は多分世界系の予感がプンプンします。世界系なら理由が付かない部分が出てくると思いますので。特に肝心の巨人の答え合わせがなさそうなので、ちょっとがっかりです。





追記　１期でエレンって巨人に喰われてましたよね？

{netabare}巨人になれる能力を持つ巨人を別の巨人が食べると能力を継承するっていってましたけど、それってどういう事でしょうか？{/netabare}



追記　１期でエレンの母親が喰われた巨人って…

{netabare}なるほどダイナでしたか…ジーク（４期見ると分かりますが獣の巨人）の母親でグリシャの奥さん、エレンから見たら父親の元奥さん…ということですね。まあ、因縁は感じますが後付けかなあ…話の深さに関係しない気がしますので。{/netabare}"
