username,rating,time,votes,comment
りは,4.8,2025/01/21,1,"人類の創世の歴史のような

現代社会の縮図のような

近未来の予言のような

そんな風な感じです



WIT STUDIO ここまでなので

これから先のシーズンの感想は

やめます(完走しました！)"
QijVR00679,2.6,2024/10/13,1,"１期→巨人

２期→人類

３期→王政

４期→マーレ



だとすると３期の前半だけがダメだった

他はとても面白かった

進撃で最も悪いキャラがヒストリアだと思う

ヒストリアとユミルの関係や名言も中だるみしたのか色々説得力もなかった



ヒストリアが良い子だとも思えなかった

仲間のためにパンを渡すって普通でしょ



せめてユミルが「今まで周りに求められていた自分を嬉しく思ってたけど

それは周りが都合の良いように動かしたいだけで、よく考えるべきだった」とか言ってくれてたら、父親から離れた理由もわかるし

ヒストリアが「父の期待にこたえたいの」とかずっと他者評価気にしてる描写があったら納得した



でも結局選んだのは女王の道

それこそユミルが選んだ崇拝の象徴で、周りに都合の良いであることには変わらなくない？と思った



父がなぜちゃんとした巨人になれなかったかは今も不明だし、ケニーの注射はいつから？予備あったん？と



その後４期で妊娠し出すのもエレンにとって都合の良い子じゃないかと思った

どこが悪い子なのか



ヒストリアのヒステリーさについて行けなかったし

ユミルが思い入れして命かける理由も弱かった"
四ツ谷ミツル,4.5,2024/02/06,0,"今回もやはり流石の一言だった。

二期までは人vs巨人を描いていたが、今回の三期Part1は人vs人、内壁戦が描かれてゆく。

毎回思うのだが進撃の巨人という作品は危機的状況においての人間の心情や錯乱した姿を描くのが上手すぎる。

巨人とばかり戦うのでは無い。人は一枚岩では無い。思想の違いで力を合わせるべき人間同士で殺し合う。

このストーリーの移行はしんどいながらも見事だ。それに付随する声優さんの必死の演技もまた良かった。



だが、ストーリーはまたエレンが攫われる所から始まる。

お前攫われすぎやろ、ピー●姫やないねんぞ。

などと思ったりもしたが、直後のリヴァイの立体機動を駆使して戦うシーンが素晴らし過ぎで杞憂が消し飛んだ。

思わず画面の前で拳を握りしめて「うおおおお！！」と叫んでしまった。心の中で。

迫力と臨場感溢れる構図、声優さんの叫びの演技など全て素晴らしい。

マジでPart1で1番好きなシーンだ。



全体の作画もより線が細くなってアニメっぽく洗練された気がする。おそらく時代に合わせての事だろう。なんせまあまあ時間が空いている。

そして、これは二期でも思ったがエルヴィンの作画がずば抜けている。あの意志の強い目力に圧倒されそうになる。



素晴らしい所はそれこそ山の様にあるのだが、この辺の話は原作でもあまり評判が良くなかったらしい。まあ……それも何となく分かる。

人間同士の心理描写に尺を割いた分巨人同士のアクションシーンはだいぶ控えめだったし、世界観の説明パートが結構長くて多い。

俺みたいに巨人同士のど迫力の戦闘シーンを求めているとちょっとジレったくなる。

まあつまりは進撃の巨人に何を求めているかで見方が変わるパートなのだ。



エレンも二期同様あまり出番は無いが、サブキャラ達のキャラクターはしっかり立っているので群像劇としては面白い。

全てでは無いが巨人の謎やこの世界についても掘り下げられる。

そしてなにより、エレンがこんなに人間味のある奴だと思わなかった。

今までエレンは巨人を殺すことに盲信的で、何があろうと誰が死のうと絶対に折れない、ある種人間離れした猪突猛進オリハルコンメンタルの持ち主だと思っていたが、

 {netabare} 

ハンネスの死を引き金に心の均衡が崩れて地下室でヒストリアに「殺してくれ！」と言うシーンでハッとした。なんだ、ちゃんと人間じゃないかと。

エレンという人間の内面が深掘りされたのはやはり対人間だからこそだし、これはちゃんと大事な1クールだ。



あの無表情で威厳ある不気味な王がボンクラだったのも意表を突かれたし、まさかヒストリアが本当に女王様になるとは。(死んだらどうしようとヒヤヒヤしていた)

{/netabare}

Part2からはまた対巨人のド派手な戦闘シーンが見られそうなので期待して視聴しようと思う。"
退会済のユーザー,5.0,2023/12/19,0,"進撃は全てはなまる。



王政編は少し退屈って言われてるしわかるけど

進撃の重要な内容が明らかになるとこだから

実際大切なとこ！！



あと作画に関しては戦闘シーン凄すぎ！！



私は進撃の音楽が大好きので満点です！

サントラ聴きまくってます"
太郎,5.0,2023/03/21,2,{netabare}エレン「このチビオヤジ！！　　…( ﾟдﾟ)ﾊｯ!」{/netabare}
カモミール,3.5,2023/02/09,0,巨人の秘密が少しずつ明らかになるのが面白い。
U-yan,5.0,2022/09/10,3,３期です。確かこの３期の前半は諌山先生が「この辺はあまり評判良くなかった」と仰っていたところだったと思います。物語に魅了されている人は気にならないと思います。この３期の前半は深くて重要なところなんですよね。だからこそややこしくて難しいと思う方もいるかもしれません。そしてこの３期はとにかく「リヴァイ」です。作画ヤバいです。また、謎も残酷さも増してきます。 {netabare}49話だったっけな。伝説の特殊エンディングです。あの観せ方はオシャレですよね～。果たしてあの選択は最善だったのであろうか・・・。{/netabare}そしてついに地下室へ・・・。
マーティ,5.0,2022/06/07,18,"3期前半ですね。王政編という、ちと複雑になったお話です。一旦巨人と離れ、人対人になります。



　3期前半は名言が多いんですよね～例えば

「こういう役割には順番がある」

「人間、何かに酔っぱらってねぇとやってられなかったんだなぁ、、、」

「この子は偉いんです。だってこの世に生まれてきてくれたんだから」



　などなど。この辺の名言は最終巻まで読んだからこそわかる、染みるものがあります。できれば覚えておいてほしいです。最後あたりできいてくるので。



　個人的に、2期でほとんど出番がなかったリヴァイがまた活躍したのは嬉しかったですね！さらにリヴァイに関するギャグもちょくちょく挟まれてましたし、強さだけでなく親しみやしさも持てました。



　これにて感想を終わります。ここまで読んでくださりありがとうございました。"
ぺー,4.0,2022/02/27,64,"2018.10.17記





原作既読。





初見時TV版1期2期を観てません。3期放送に先立ち下記劇場版のTV放送をおさえた上で参戦しました。



・劇場版 前編〜紅蓮の弓矢〜 / 後編〜自由の翼〜

・劇場版 Season2〜覚醒の咆哮〜





そうですね。いつしか観ようTV版！(※注：その後視聴済)





そしてTV版のおさらい～wikiより～



・第1期：全25話 + OAD5話

・第2期：全12話



第3期は分割2クールのようでいったん1クールめ12話分のレビューとなります(2018年10月時点)。物語の表現上は“第38話～49話”の扱いとのこと。

放送局は天下のN○Kに移り、ほぼ全国同時放送となりました。人気作の続編として期待と不安入り混じる下馬評だったかと思います。





ぱっと見



　“内戦(仮)”





2期までに綴られたであろう巨人VS人類の構図が変わり、壁内の人間同士の争いに焦点を絞り物語が展開します。そしてこれまでの謎が次々と明かされていくことになり目が離せないです。

ニック司祭殺害に端を発し、{netabare}ウォール・マリア奪還作戦手前までと{/netabare}区切りのいいとこまでやって1クール終了です。

原作通りでもあるし、人間VS人間の萌芽は2期までに描かれていた(たぶん)ため驚きの展開というわけではなかったと思います。



冒頭述べたようにTV版未視聴なので、前期・前々期との比較はできませんが、市外戦闘の作画は凄まじかったと思います。

草原など奥行きのある背景でデカブツを相手にするよりも目まぐるしく絵が変わる市外戦は作品通じての見どころになりますね。



それと、全話通してリヴァイ兵長が出演します。録画した回を観る度に兵長の雄姿を拝めるのは眼福でした。さらにはリヴァイの生い立ち含めた過去話に踏み込むのでファン必須でしょう。





バトルもありながら政治重視の様相を呈する展開には、これまでと趣きが変わる分戸惑うかもしれませんが、原作がそうなのでほんとに好き好きということになるかと思います。

これまでOPを担当していたLinked HorizonからYOSHIKI&HYDE組にバトンタッチして、そこにN○K色を感じなくもない今日この頃ですが、結局のところOP画像のミカサの笑顔はいったいいつ拝めるのだろうと願いつつ、人間同士の抗争(正確には権力闘争)に突っ込んでいく3期前半パートとなりました。



{netabare}49話でミカサが「これが終わったらあの頃のように…」的なことをつぶやきます。ほんとそうですね。{/netabare}





2019年4月再開予定の放映も視聴予定のため、そちら含めて完走したらあらためてレビューも纏めたいと思います。いったん「観終わった」にしときます。







【閑話休題】藤井聡教授の見立て

今から7～8年前くらいだったでしょうか。氏のインタビュー映像かなんかで、氏の息子の薦めで漫画版を読んだ時の印象について言及があり、それがなかなか面白かったので紹介しておきます。

ちなみに私が原作を手に取ったのはこの藤井教授に触発されたのがきっかけ。。

※アニメ関係ないので畳みます



{netabare}曰く、この壁の中の人類ってまんま今の日本人のこと指してんじゃん、と。



『壁の中なら安全』壁は未来永劫自分たちを守ってくれると固く信じている

『壁の外は知りません』外界の動向をきちんとウォッチすることを放棄

『上記2つを破るものは制裁』現状維持しようしようと躍起になる勢力がある



こんな主旨だったかと思います。

上記3点はすなわち“欺瞞”ということで、いったん壁破られたらどうなん？を描いたのがアニメ1期ということになります。いましたね、昼から飲んだくれてる憲兵団が。そして既得権力として上記3つを堅持しようとする王政府(偽)が。そして壁破られて右往左往する人類が。



劇中では、外の世界に興味津々のアルミンと触発されたエレン。ならびに外を知らずして人類に未来無し！の調査兵団、という組み合わせでした。

外の世界を知り、その上でしっかりと準備し、外敵が来たら駆逐する、といった当たり前のことを作品を通じて訴えており、そこが琴線に触れたんじゃないか、との氏の見立てです。



だからヒットしたかどうかというのは違うと思いますがね。{/netabare}



{netabare}で、今回は内戦(仮)です。巨人には元々人類だったやつもいるよ、からの3期の展開です。

物語として、巨人VS人類から人間VS人間にシフトして戸惑う部分も多いかもしれない本作ですが、一般論として、外敵と対峙する際に内なる敵を抱えたままだとほぼ勝利を収めることは難しいのが世の常。

そんな事情があったかどうかは露ぞ知らぬところではあるものの、壁の中での争いに物語がシフトしたのはある意味当然なのかもしれません。{/netabare}







視聴時期：2018年7月～9月　地上波リアタイ



-----

2019.04.09追記



その後、TV版1期2期を視聴済。劇場版のみでもすんなり入れたのは事実なのですが、もう一度3期前半をおさらいしてみると、ライナーのくだりとかTV版を抑えておいたほうが良いように思えました。少しばかり後悔してます。



----

2020.01.31

《配点を修正》+0.1







2018.10.17　初稿

2019.04.09　追記

2020.01.31　配点修正

2022.02.27　修正"
haruto,5.0,2022/02/12,0,2回目2022.2.12
